"Jacqueline D. Reses > Square Financial Services, Inc. > Relationship GridFilter Options: Board Members and Key Executives with Personal Relationships (Including Priors)",,
,,
1st Degree Table: 213 Connections,,
"Chiang, Shang-Yi ",Semiconductor Manufacturing International Corporation - Former Independent Non-Executive Director,"Nantero, Inc. (Scalise, George Martin)"
"Chiappa, Matthew ","Preferred Proppants, LLC - Former Chief Financial Officer","Preferred Sands, Inc. (Ely, Jamison C.)"
"Chiarello, Guy ",First Data Corporation - President,"DocuSign, Inc. (NasdaqGS:DOCU) (Yang, Chih-Yuan )"
"Chiasson, William B.","Fossil Group, Inc. - Lead Independent Director","Levi Strauss & Co. (Rogers, T. Gary)"
"Chiaviello MBA, Mark E.","EngenderHealth, Inc. - Former Director","Export-Import Bank of the United States (O'Neill, Michael E.)"
"Chico Pardo, Jaime ","Carso Global Telecom, S.A.B. de C.V. - Chairman, Chief Executive Officer and Chairman of Telefonos de Mexico S A B de C V","Honeywell International Inc. (NYSE:HON) (Ayer, William S.)"
"Chicoine CPA, Grover Lee","FBL Financial Group, Inc. - Vice Chairman","EquiTrust Life Insurance Company, Inc. (Holoman, Eric Leon)"
"Chicoine CPA, Jerry Lee","Pioneer Hi-Bred International, Inc. - Director","EquiTrust Life Insurance Company, Inc. (Holoman, Eric Leon)"
"Chien, Chi-Hua Michael","Erly, Inc. - Co-Founder and Director","Chegg, Inc. (NYSE:CHGG) (Sarnoff, Richard )"
"Child, David ",Lifesearch Ltd - Managing Director,"IntelliFlo Ltd. (Fitzsimons, Paul )"
"Child, Jeffrey S.","RC Willey Home Furnishings, Inc. - President","RC Willey Home Furnishings, Inc. (Hymas, Scott L.)"
"Child, Michael C.","TA Associates Management, L.P. - Senior Advisor","Cadence Design Systems, Inc. (NasdaqGS:CDNS) (Scalise, George Martin)"
"Child, William H.","RC Willey Home Furnishings, Inc. - Chairman","RC Willey Home Furnishings, Inc. (Hymas, Scott L.)"
"Childs, Robert Simon",Hiscox Insurance Company (Bermuda) Limited - Chief Underwriting Officer,"Hiscox Ltd (LSE:HSX) (Pike, Lynn Ann)"
"Chiles, Mark",Intermountain Gas Company - Vice President and Controller,"Intermountain Gas Company (Glynn, William C.)"
"Chin, William W.",Takeda Pharmaceutical Company Limited - Member of Takeda Global Advisory Board,"Takeda Pharmaceutical Company Limited (TSE:4502) (Clark, Ian T.)"
"Ching, Meredith J.","Alexander & Baldwin, Inc. - Executive Vice President of External Affairs","Hawaii Medical Service Association (Ho, Peter S.)"
"Ching, Michael H.F.",Ernst & Young LLP - Honolulu Office Managing Partner,"First Hawaiian Bank, Inc. (Shepherd, J. Michael), First Hawaiian, Inc. (NasdaqGS:FHB) (Shepherd, J. Michael)"
"Ching, Siu Leung",Intime Retail (Group) Company Limited - Former Vice Chairman,"Intime Retail (Group) Company Limited (Zhang, Yong )"
"Chipman Sr., Michael A.","Axos Financial, Inc. - Former Director","Axos Bank (Garrabrants, Gregory ), Axos Financial, Inc. (NYSE:AX) (Garrabrants, Gregory )"
"Chirico, Emanuel ",PVH Corp. - Chairman & CEO,"PVH Corp. (NYSE:PVH) (Stahl, Christian )"
"Chizen, Bruce R.",Informatica LLC - Executive Chairman,"DocuSign, Inc. (NasdaqGS:DOCU) (Yang, Chih-Yuan ), Synopsys, Inc. (NasdaqGS:SNPS) (Vallee, Roy A.)"
"Chleboski, Richard G.",Evergreen Solar Inc. - Co-Founder,"Evergreen Solar Inc. (Deutch, Philip Joseph)"
"Chlupsa, Steven A.","Avnet Technology Solutions, Inc. - Former Vice President of Finance","Avnet Technology Solutions, Inc. (Vallee, Roy A.)"
"Cho, Jimmie I.",Southern California Gas Company - Chief Operating Officer,"Southern California Gas Company (Jones, William D.)"
"Cho, Seok","Electric Power Research Institute, Inc. - Director","Electric Power Research Institute, Inc. (Craver, Theodore F.)"
"Choi, Caroline ",Edison International - Senior Vice President of Corporate Affairs,"Electric Drive Transportation Association (Craver, Theodore F.)"
"Chong, Arthur ",Altaba Inc. - General Counsel & Secretary,"Yahoo Japan Corporation (TSE:4689) (Son, Masayoshi ), Yahoo Japan Corporation (TSE:4689) (Yang, Chih-Yuan )"
"Chong, Gordon",Chong Partners Architecture - President,"Mills College (Hall, Katheryn Ann)"
"Chong, Jason ",EQT Partners AB - Chief Financial Officer of EQT Asia Pacific,"EQT Partners AB (Ekholm, E. Börje)"
"Chong, Kwang Woo",Standard Chartered Bank Korea Limited - Former President,"Standard Chartered Bank Korea Limited (Blum, Richard Charles)"
"Chong, Sok Un ",China Medical & HealthCare Group Limited - Executive Deputy Chairman,"Alibaba Pictures Group Limited (SEHK:1060) (Yu, Yongfu )"
"Chopra, Dinesh ",Ally Financial Inc. - Chief Strategy & Corporate Development Officer,"FTV Capital (O'Neill, Michael E.), FTV Capital (Shepherd, J. Michael)"
"Chopra, Naveen ",Vonage Holdings Corp. - Former Independent Director,"Pandora Media, Inc. (Sarnoff, Richard )"
"Chosy, James L.",U.S. Bank National Association - Executive VP & General Counsel,"U.S. Bank National Association (Hartnack, Richard C.)"
"Chou, John G.",AmerisourceBergen Corporation - Executive VP & Chief Legal Officer,"MWI Veterinary Supply, Inc. (Thompson, Mary Patricia B.)"
"Chou, Timothy C. K.","Openwater Software, Inc. - Co-founder","Blackbaud, Inc. (NasdaqGS:BLKB) (Hernández, Sandra R.)"
"Choudhary, Manish ",Catalyst Inc. - Member of India Advisory Board,"Catalyst Inc. (McGee, Liam E.)"
"Chouinard, Marc",Hudson's Bay Company - Former President of The Bay and Chief Operating Officer of The Bay,"Hudson's Bay Company (TSX:HBC) (Wong, Andrea L.)"
"Chow, Joseph ",Centurium Capital Management Ltd. - Former Managing Director,"Intime Retail (Group) Company Limited (Zhang, Yong )"
"Chow, Roland W.",Tri-Valley Bank - Former Director,"Tri-Valley Bank (Grisham, Arnold T.)"
"Chowdary, Subhash","Aankhen, Inc. - Founder, Chief Executive Officer and Director","Aankhen, Inc. (Bochner, Steven E.)"
"Chrietzberg Jr., Charles T.","Northern California Bancorp, Inc. - Chairman, President & CEO","Pacific Coast Bankers' Bancshares (Gurney, Tamara G.)"
"Chrisman, Timothy R.","FIG Partners, LLC - Chairman & Partner","Banc of California, Inc. (NYSE:BANC) (Holoman, Eric Leon), Banc of California, Inc. (NYSE:BANC) (Sznewajs, Robert D.), Banc of California, N.A. (Holoman, Eric Leon), Banc of California, N.A. (Sznewajs, Robert D.), Federal Home Loan Bank of San Francisco (Gardner, Steven R.) and 1 Other Connection"
"Christensen M.D., Brent J.","Intermountain Healthcare, Inc. - Former Trustee","Intermountain Healthcare, Inc. (Ivory, Clark), Intermountain Healthcare, Inc. (Packard, Matt Calvin)"
"Christensen, Clayton M.","Rose Park Advisors, LLC - Co-Founder, Chairman and Senior Advisor","Amdocs Limited (NasdaqGS:DOX) (Sarnoff, Richard ), Intermountain Healthcare, Inc. (Ivory, Clark), Intermountain Healthcare, Inc. (Packard, Matt Calvin)"
"Christensen, David A.","Raven Industries, Inc. - Former Director","Wells Fargo & Company (NYSE:WFC) (Craver, Theodore F.), Wells Fargo & Company (NYSE:WFC) (Stumpf, John G.)"
"Christensen, Delbert ","Renewable Energy Group, Inc. - Independent Director","Renewable Energy Group, Inc. (NasdaqGS:REGI) (Deutch, Philip Joseph)"
"Christensen, Geraldine O.",Ballet West - Ex-Officio,"Ballet West (Carter, Carol)"
"Christensen, J. Douglas",Bonneville Bancorp - Chairman & President,"Bonneville Bancorp (Goodwin, Lewis B.), Green Dot Bank (Goodwin, Lewis B.), Green Dot Bank (Soto, Brandon )"
"Christensen, Julius G.",Western Bancorp - Former EVP,"Western Bancorp (Boeka, Adriana M.), Western Bancorp (Rainer, David I.)"
"Christensen, Michael D.",Green Dot Bank - Vice President of Lending & Operations,"Green Dot Bank (Goodwin, Lewis B.), Green Dot Bank (Soto, Brandon )"
"Christensen, Norman L.","Environmental Defense Fund, Inc. - Trustee","Environmental Defense Fund, Inc. (Shorenstein, Douglas W.)"
"Christensen, Robert J.",PACCAR Inc - Former President and Chief Financial Officer,"PACCAR Inc (NasdaqGS:PCAR) (Parry, Robert T.)"
"Christenson, Trish ",Sterling Savings Bank - Former Assistant Vice President,"Sterling Savings Bank (Donegan, Robert C.)"
"Christian, Claude","Credit Union Executives Society, Inc. - Former Director","Credit Union Executives Society, Inc. (Ramirez, Robert D.)"
"Christian, William S.",Bank of Los Angeles - Former Vice President & Sr. Operations Ofcr.,"Bank of Los Angeles (Boeka, Adriana M.)"
"Christiansen, Dean A.","Oasis Trading, LLC - Chief Executive Officer","Edison Mission Energy (Craver, Theodore F.)"
"Christie, H. Frederick",Capital World Growth and Income Fund - Independent Director,"AMCAP Fund (MutualFund:AMPF.X) (Jones, William D.), American Mutual Fund (MutualFund:AMRF.X) (Jones, William D.), Capital Income Builder (MutualFund:CIRF.X) (Berenato, Joseph C.), Capital World Growth and Income Fund (MutualFund:CWGI.X) (Berenato, Joseph C.), Ducommun Incorporated (NYSE:DCO) (Berenato, Joseph C.) and 2 Other Connections"
"Christie, Robert S.",Potomac Equity Partners - Advisory Partner,"Cengage Learning, Inc. (Dunn, Ronald G.), Cengage Learning, Inc. (Durbin, Dean D.), Cengage Learning, Inc. (Hansen, Michael E.), Cengage Learning, Inc. (Leahy, John J.), Cengage Learning, Inc. (Shaffer, David H.) and 2 Other Connections"
"Christman Ph.D., Ronald P.","The Concours Group, Inc. - Co-Founder, Chairman of the Board, Chief Executive Officer, President and Secretary","The Concours Group, Inc. (Shaffer, David H.)"
"Christman, Barrie G.","ABA Business Solutions, Inc. - Director","ABA Business Solutions, Inc. (Steinwert, Kent A.)"
"Christman, Daniel William","ID.me, Inc. - Advisor","Teradyne, Inc. (NasdaqGS:TER) (Vallee, Roy A.)"
"Christodoro, Jonathan ","Enzon Pharmaceuticals, Inc. - Independent Chairman","eBay Inc. (NasdaqGS:EBAY) (Bates, Anthony John)"
"Christopher, David","The Advertising Council, Inc. - Director","The Advertising Council, Inc. (Bain, Adam )"
"Christopher, Warren ",O'Melveny & Myers LLP - Former Senior Partner,"Southern California Edison Company (Craver, Theodore F.)"
"Chu, Alexander Tom",PVH Corp. - Regional President of Asia Pacific,"PVH Corp. (NYSE:PVH) (Stahl, Christian )"
"Chu, Gina Lin",Asia Society - Trustee Emeritus,"Asia Society (Evans, J. Michael ), Asia Society (Ng, Dominic )"
"Chu, Mabel","RFinity US, LLC - Director and Advisor","Genesis Global Trading, Inc. (Palihapitiya, Chamath )"
"Chu, Steven ",The Citizenre Corporation - Secretary,"Eos Energy Storage LLC (Yang, Chih-Yuan )"
"Chubb, Sarah ","Gilt City, Inc. - President","Interactive Advertising Bureau, Inc. (Bain, Adam ), Interactive Advertising Bureau, Inc. (Steinberg, Jonathan)"
"Chudnofsky, Jason E.","CrossTech Media, LLC - President","ZDNet, Inc. (Yang, Chih-Yuan ), Ziff-Davis Inc. (Son, Masayoshi ), Ziff-Davis Inc. (Yang, Chih-Yuan )"
"Chugg, Juliana L.",V.F. Corporation - Independent Director,"Caesars Entertainment Corporation (NasdaqGS:CZR) (Dionne, John D.)"
"Chui, David K.",Pan-Cal - Chief Executive Officer and President,"Bridge Capital Holdings (Myers, Daniel P.)"
"Chulack, Alexander A.",Reverence Capital Partners LLC - Managing Partner and Partner,"First Republic Bank (NYSE:FRC) (Herbert, James H.), First Republic Bank (NYSE:FRC) (Hernández, Sandra R.)"
"Chun, Ariel F.",University of Hawai`i Federal Credit Union - Former President & CEO,"PSCU Incorporated (Doss, David E.), PSCU Incorporated (Stuart, Robert A.)"
"Chun, Michael J.","Matson, Inc. - Former Director","Bank of Hawaii (Ho, Peter S.), Bank of Hawaii (O'Neill, Michael E.), Bank of Hawaii Corporation (NYSE:BOH) (Ho, Peter S.), Bank of Hawaii Corporation (NYSE:BOH) (O'Neill, Michael E.), Hawaii Medical Service Association (Ho, Peter S.)"
"Chun, Mitchell","Timeline Labs, LLC - Chief Financial Officer and Chief Operating Officer","5to1 Holding Corp. (Heckman, James Charles), 5to1 Holding Corp. (Levinsohn, Ross B.), Timeline Labs, LLC (Levinsohn, Ross B.)"
"Chung, Ann H.",Hawaii Medical Service Association - Former Director,"Hawaii Medical Service Association (Ho, Peter S.)"
"Chung, Daniel Cayley","Fred Alger Management, LLC - CEO, President, Chief Investment Officer, Portfolio Manager & Director","The Nature Conservancy (Ma, Yun )"
"Chung, Ming Kit",China Shengmu Organic Milk Limited - Former Company Secretary,"China Fordoo Holdings Limited (SEHK:2399) (Kwauk, Teh Ming )"
"Church J.D., Dale W.",Intelligent Inspection Corporation - Chief Executive Officer,"iRobot Corporation (NasdaqGS:IRBT) (Leahy, John J.)"
"Church, Lisa","eMarketer, Inc. - President","The Advertising Council, Inc. (Bain, Adam )"
"Churchey, Randall L.","Encore Real Estate Company, LLC - Chief Executive Officer","FelCor Lodging Trust Incorporated (Hartung, Christopher J.)"
"Churchill, Clinton R.",Bank of Hawaii Corporation - Former Director,"Bank of Hawaii (Ho, Peter S.), Bank of Hawaii (O'Neill, Michael E.), Bank of Hawaii Corporation (NYSE:BOH) (Ho, Peter S.), Bank of Hawaii Corporation (NYSE:BOH) (O'Neill, Michael E.)"
"Churchill, Gregory S.",Ducommun Incorporated - Independent Director,"Ducommun Incorporated (NYSE:DCO) (Berenato, Joseph C.)"
"Chwang Ph.D., Jen-Chuan ","iD Ventures America, LLC - Chairman and President","iRobot Corporation (NasdaqGS:IRBT) (Leahy, John J.)"
"Cialone, Anthony","Encell Composites, LLC - Founder, Chairman and Chief Executive Officer","Lehigh Technologies, Inc. (Deutch, Philip Joseph)"
"Cicchini, Attilio J.",Southport Bank - Former Director of Southport Financial Corporation,"Southport Bank (Boeka, Adriana M.), Southport Financial Corporation (Boeka, Adriana M.)"
"Cicconi, James W.",El Paso Electric Company - Independent Director,"The Brookings Institution (Blum, Richard Charles)"
"Cicero CCE, Carla ",Numerica Credit Union - President & CEO,"Credit Union Executives Society, Inc. (Ramirez, Robert D.)"
"Cirillo-Goldberg, Mary A.",Chubb Limited - Independent Director,"American Internet Corporation (Yang, Chih-Yuan ), Cisco Systems, Inc. (NasdaqGS:CSCO) (Yang, Chih-Yuan ), Combinet, Inc. (Yang, Chih-Yuan ), Growth Networks, Inc. (Yang, Chih-Yuan ), PipeLinks, Inc. (Yang, Chih-Yuan ) and 1 Other Connection"
"Cirino, Maria A.",".406 Ventures, LLC - Co-Founder, Founding General Partner, Founding Partner, Partner & Managing Partner","Keane Inc., Prior to Merger with Caritor, Inc. (Leahy, John J.)"
"Cisneros, Adriana ",Fluvip LLC - Partner,"Mattel, Inc. (NasdaqGS:MAT) (Ng, Dominic )"
"Cisneros, Evelyn",KQED Inc. - Former Director,"KQED Inc. (Seldon, Willa E.)"
"Cisneros, Henry G.",CityView - Founder and Chairman,"American Film Institute (Meyer, Barry M.), Countrywide Financial Corp. (Parry, Robert T.)"
"Citrino, Mary Anne",HP Inc. - Independent Director,"Health Net, Inc. (Craver, Theodore F.), Health Net, Inc. (Craver, Theodore F.)"
"Civale, Anthony M.","Apollo Global Management, Inc. - Co-COO & VP","Caesars Entertainment Corporation (NasdaqGS:CZR) (Dionne, John D.)"
"Clack, David A.",Catalyst Opportunity Fund I - Principal,"Avista Corporation (NYSE:AVA) (Holley, Rick R.)"
"Claesson, Pehr ",Telefonaktiebolaget LM Ericsson (publ) - Former Employee Representative Director,"Telefonaktiebolaget LM Ericsson (publ) (OM:ERIC B) (Ekholm, E. Börje)"
"Clammer, Kate Harbin",Tipping Point Community - Director,"Tipping Point Community (Bates, Anthony John)"
"Clancy, Paul J.","Alexion Pharmaceuticals, Inc. - Executive VP & Senior Advisor","Agios Pharmaceuticals, Inc. (NasdaqGS:AGIO) (Clark, Ian T.)"
"Clapp, Dan",Insurance Institute for Highway Safety - Director,"Insurance Institute for Highway Safety (McNaughton, Stanley William)"
"Clapp, Norton",Weyerhaeuser Company - Former President,"Weyerhaeuser Company (NYSE:WY) (Holley, Rick R.)"
"Clapper, David M.","Silicon Valley Bank, Inc. - Director","Silicon Valley Bank, Inc. (Wilcox, Kenneth Parmalee), SVB Financial Group (NasdaqGS:SIVB) (Wilcox, Kenneth Parmalee)"
"Clare, David",PT Lippo Karawaci Tbk - Former Executive Officer,"CBRE Group, Inc. (NYSE:CBRE) (Blum, Richard Charles)"
"Clarfeld M.D., Richard B.",Overlake Hospital Medical Center - Former Chief of Staff & Trustee,"Overlake Hospital Medical Center (Cleveland, Tom)"
"Clarizio, Lynda M.",CDW Corporation - Independent Director,"Interactive Advertising Bureau, Inc. (Bain, Adam ), Interactive Advertising Bureau, Inc. (Steinberg, Jonathan)"
"Clark C.M., William Edmund",Thomson Reuters Corporation - Corporate Director,"Thomson Reuters Corporation (TSX:TRI) (Shaffer, David H.)"
"Clark CFA, Geoffrey C.","Starr International Company, Inc. - Senior Managing Director of Starr Investment Holdings LLC and Director of C V Starr","At Home Group Inc. (NYSE:HOME) (Francis, Philip L.)"
"Clark CPA, Karen K.","Riverside Partners, LLC - Operating Partner","PacifiCorp (Johansen, Judith Ann)"
"Clark CPA, Richard Byron",Brookfield Property Partners L.P. - Chairman & Senior Advisor,"Real Estate Roundtable, The (Shorenstein, Douglas W.)"
"Clark Ph.D., Clesteen Abraham",Wells Fargo & Company - Independent Director,"Wells Fargo & Company (NYSE:WFC) (Craver, Theodore F.), Wells Fargo & Company (NYSE:WFC) (Stumpf, John G.)"
"Clark, Barbara",Ballet West - Secretary and Director ,"Ballet West (Carter, Carol)"
"Clark, Brian",GMD Studios - Chief Executive Officer and Partner,"Interactive Advertising Bureau, Inc. (Bain, Adam ), Interactive Advertising Bureau, Inc. (Steinberg, Jonathan)"
"Clark, Christie James Beckett",Loblaw Companies Limited - Independent Director,"Catalyst Inc. (McGee, Liam E.)"
"Clark, David W.",SierraWest Bancorp - Former Director,"Bank of the West (Shepherd, J. Michael)"
"Clark, Denise M.","Caesars Holdings, Inc - Independent Director","Caesars Entertainment Corporation (NasdaqGS:CZR) (Dionne, John D.)"
"Clark, Donald","Olson Urban Housing, LLC - Director","Professional Business Bank (Decker, Richard W.)"
"Clark, Douglas ","Wilson Sonsini Goodrich & Rosati, P.C. - Managing Partner","Wilson Sonsini Goodrich & Rosati, P.C. (Bochner, Steven E.)"
"Clark, Glen David","The Jim Pattison Group, Inc. - President & Director","The Jim Pattison Group, Inc. (Nordstrom, Blake W.)"
"Clark, Gregory S.","NortonLifeLock Inc. - Former President, CEO & Director","Symantec Corporation (NasdaqGS:SYMC) (Beer, James A.)"
"Clark, James Brian",Vodafone Australia Pty. Ltd. - Director,"SoftBank Corp. (TSE:9434) (Ma, Yun ), SoftBank Corp. (TSE:9434) (Son, Masayoshi ), SoftBank Group Corp. (TSE:9984) (Ma, Yun ), SoftBank Group Corp. (TSE:9984) (Son, Masayoshi )"
"Clark, James P.",Oregon Bankers Association - Former Director,"Oregon Bankers Association (Sznewajs, Robert D.)"
"Clark, Jamie","NANA Development Corporation, Inc. - Former Commercial Sector Leader","NANA Development Corporation, Inc. (Sandvik, Helvi Kay)"
"Clark, Maureen C.","Community West Bank, National Association - Consultant","Community West Bancshares (NasdaqGM:CWBC) (Sanborn, Richard M.)"
"Clark, Michael Weld","Chilton Investment Company, LLC - Exec. VP, Chief Risk Officer, Portfolio Manager & Director","Nasdaq, Inc. (NasdaqGS:NDAQ) (Ekholm, E. Börje)"
"Clark, Robert Charles",Omnicom Group Inc. - Former Independent Director,"ALM Media Properties, LLC (Uriarte, Marcelo Gigliani), ALM Media, LLC (Uriarte, Marcelo Gigliani), Warner Media, LLC (Meyer, Barry M.)"
"Clark, Ronal Kerry",Hauser Private Equity - Partner and Independent Director,"Avnet, Inc. (NasdaqGS:AVT) (Vallee, Roy A.), Cardinal Health, Inc. (NYSE:CAH) (Francis, Philip L.)"
"Clark, Wendy ",DDB Worldwide Communications Group Inc. - Former CEO & President,"The Advertising Council, Inc. (Bain, Adam )"
"Clark, Wesley Kanne","United Global Resources, LLC - Chairman and Co-Founder","Eos Energy Storage LLC (Yang, Chih-Yuan )"
"Clark-Diggs, Joetta","NYC2012, Inc. - Director","NYC2012, Inc. (Shepherd, J. Michael)"
"Clarke, Dennis ",SouthWest Water Company Inc. - Director,"SouthWest Water Company (Jones, William D.)"
"Clarke, Douglas A.",VerticalScope Inc. - Former Chief Operating Officer,"Dealer Dot Com, Inc. (Uriarte, Marcelo Gigliani), TRADER Corporation (Uriarte, Marcelo Gigliani)"
"Clarke, Jeff","National Datacast, Inc. - Chairman","KQED Inc. (Seldon, Willa E.)"
"Clarke, Jeffrey J.",Eastman Kodak Company - Former CEO & Director,"Docker, Inc. (Yang, Chih-Yuan ), UTStarcom Holdings Corp. (NasdaqGS:UTSI) (Son, Masayoshi )"
"Clarke, Michael W.",Atlantic Union Bankshares Corporation - Independent Director,"Nasdaq, Inc. (NasdaqGS:NDAQ) (Ekholm, E. Börje)"
"Clarke, Richard A.",Pacific Gas and Electric Company,"Bank of America National Trust & Saving Association (O'Neill, Michael E.), BankAmerica Corp. (O'Neill, Michael E.)"
"Clarke, Robert F.",Aina Koa Pono LLC - Member of the Board of Advisors,"Hawai'i Pacific University (Ho, Peter S.), Hawai'i Pacific University (O'Neill, Michael E.)"
"Clarke, Sandra ","California Physicians' Service, Inc. - Senior VP & CFO","California Physicians' Service, Inc. (Hernández, Sandra R.)"
"Clarke, Shelley","Credit Union Executives Society, Inc. - Former Director","Credit Union Executives Society, Inc. (Ramirez, Robert D.)"
"Clarke, Tracy Jayne",Standard Chartered Bank - Former Director,"Standard Chartered Bank Korea Limited (Blum, Richard Charles)"
"Clarke, Vaughn A.",Freddie Mac - Former Executive VP & CFO,"Freddie Mac (OTCPK:FMCC) (Hartnack, Richard C.)"
"Clarkson, Albert","Lynx Software Technologies, Inc. - Member of the Technical Advisory Board","Lynx Software Technologies, Inc. (Bochner, Steven E.)"
"Clarkson, Lawrence W.","HITCO Carbon Composites, Inc. - Chairman","Avnet, Inc. (NasdaqGS:AVT) (Vallee, Roy A.)"
"Clary, Cheryl L.",SouthWest Water Company Inc. - Former Senior Vice President of Finance and Assistant Secretary,"SouthWest Water Company (Jones, William D.)"
"Clary, Michael",Bodle Technologies Limited - Chief Executive Officer,"Radar Networks, Inc. (Levinsohn, Ross B.)"
"Clasen, Robert B.",Path 1 Network Technologies Inc. - Chairman,"Starz (Wong, Andrea L.)"
"Claure, Raul Marcelo",Sprint Corporation - Former Executive Chairman,"SoftBank Corp. (TSE:9434) (Ma, Yun ), SoftBank Corp. (TSE:9434) (Son, Masayoshi ), SoftBank Group Corp. (TSE:9984) (Ma, Yun ), SoftBank Group Corp. (TSE:9984) (Son, Masayoshi ), Sprint Corporation (NYSE:S) (Son, Masayoshi ) and 1 Other Connection"
"Clausen, Alden Winship",BankAmerica Corp. - Former Director,"Bank of America National Trust & Saving Association (O'Neill, Michael E.), BankAmerica Corp. (O'Neill, Michael E.), The Brookings Institution (Blum, Richard Charles)"
"Clausen, Jesper",V.Group Ltd. - Former Chief Executive Officer of V.Ships Capital,"V.Group Ltd. (Renaud, Paul G.)"
"Claussen, Richard C.",Goddard Claussen Porter Novelli Inc. - Founding Partner,"Golden Pacific Bank, N.A. (Hotchkiss, Malcolm F.)"
"Clavel, Martine ",Aprovia SA - Director,"Apax Partners LLP (Fitzsimons, Paul )"
"Clayman, Greg ","Upoc Networks, Inc. - Co-Founder","Interactive Advertising Bureau, Inc. (Bain, Adam ), Interactive Advertising Bureau, Inc. (Steinberg, Jonathan)"
"Clayton CPA, Joseph P.",Tariffic Inc. - Director,"Sirius XM Holdings Inc. (NasdaqGS:SIRI) (Bates, Anthony John), Sirius XM Radio Inc. (Bates, Anthony John)"
"Clayton, Annette K.",Schneider Electric S.E. - Executive Vice President of North America Operations,"Duke Energy Corporation (NYSE:DUK) (Craver, Theodore F.)"
"Clayton, Cameron ","The Weather Company, LLC - General Manager of IBM's Watson Content & IoT Platform","The Advertising Council, Inc. (Bain, Adam )"
"Clayton, John R.",C3bank National Association - Former CEO & COO,"First National Bank Of Southern California (Wiest, Candace Diane Hunter)"
"Clayton, Thomas ","Bubbly Inc. - Chief Executive Officer, President and Director","Bubbly Inc. (Bates, Anthony John)"
"Clear, Geoffrey P.",iRobot Corporation - Former Senior Finance Advisor,"iRobot Corporation (NasdaqGS:IRBT) (Leahy, John J.)"
"Cleary Jr., James F.","MWI Veterinary Supply, Inc. - President","MWI Veterinary Supply, Inc. (Thompson, Mary Patricia B.)"
"Cleary, Edward W.",Farmers & Merchants State Bank - Chairman,"Farmers & Merchants State Bank (Mooney, Michael Mark)"
"Cleary, Martin D.","Amarantus BioScience Holdings, Inc. - Former Chairman of the Board","Amarantus BioScience Holdings, Inc. (OTCPK:AMBS) (Grisham, Arnold T.)"
"Clegg, Jackie M.","Clegg International Consultants, L.L.C. - Managing Partner","Export-Import Bank of the United States (O'Neill, Michael E.)"
"Clegg, Karen K.",Honeywell International Inc. - Former President,"Honeywell International Inc. (NYSE:HON) (Ayer, William S.)"
"Clegg, Robert ",San Francisco Ballet Association - Trustees Emeriti,"San Francisco Ballet Association (Herbert, James H.), San Francisco Ballet Association (Mehran, Alexander R.)"
"Clegg, Ward H.",NetBank Inc. - Former Director,"NetBank Inc. (Adler Lundgren, Tamara L.)"
"Cleland, Max",Export-Import Bank of the United States - Former Director,"Export-Import Bank of the United States (O'Neill, Michael E.)"
"Clemens, Sara ",HootSuite Media Inc. - Board Member,"Pandora Media, Inc. (Sarnoff, Richard )"
"Clement, Roland C.","Environmental Defense Fund, Inc. - Honorary Trustee","Environmental Defense Fund, Inc. (Shorenstein, Douglas W.)"
"Clements, Mark","Glooko, Inc. - Member of Medical Advisory Board","Glooko, Inc. (Palihapitiya, Chamath )"
"Clendening, John S.","Blucora, Inc. - Former President, CEO & Director","Silicon Valley Bank, Inc. (Wilcox, Kenneth Parmalee), SVB Financial Group (NasdaqGS:SIVB) (Wilcox, Kenneth Parmalee)"
"Clifford, Brendan ",Goldman Sachs Australia Pty Ltd - Director,"Goldman Sachs Australia Pty Ltd (Evans, J. Michael )"
"Clifton, Jean B.","Penton Business Media Holdings, Inc. - Chief Financial Officer","Trusted Media Brands, Inc. (Durbin, Dean D.)"
"Cline, Craig","ebrary, Inc. - Member of Corporate Advisory Board","ebrary, Inc. (Sarnoff, Richard )"
"Clinton, Michael A.","Hearst Communications, Inc. - Director","The Advertising Council, Inc. (Bain, Adam )"
"Clish Ph.D., Clary B.",ReviveMed Inc - Member of Scientific Advisory Board,"Agios Pharmaceuticals, Inc. (NasdaqGS:AGIO) (Clark, Ian T.)"
"Cloherty, Patricia M.","Mojave Therapeutics, Inc. - Chairman","Tessera, Inc. (Ekholm, E. Börje), Xperi Corporation (NasdaqGS:XPER) (Ekholm, E. Börje)"
"Clopton, Karen",California Public Utilities Commission - Acting General Counsel,"KQED Inc. (Seldon, Willa E.)"
"Close, Chuck",Whitney Museum of American Art Llc - Former Trustee,"NYC2012, Inc. (Shepherd, J. Michael)"
"Close, Ronald G.",Portag3 Ventures L.P. - Leadership Advisor,"Thomson Reuters Corporation (TSX:TRI) (Shaffer, David H.)"
"Close, Sandy","NorthBay Partners, LLC - Member of Advisory Board","The Bay Citizen (Hernández, Sandra R.)"
"Clough, Tayler",The University of Utah - Trustee,"The University of Utah (Boyer, H. Roger)"
"Clouston, B",Wireless Infrastructure Group Limited - Non Executive Director,"Future PLC (LSE:FUTR) (Fitzsimons, Paul )"
"Cloutier, Clive R.","MidSouth Bancorp, Inc. - Former Director","U.S. Securities and Exchange Commission (Bochner, Steven E.)"
"Clow, Graham G.",Roscoe Postle Associates Inc. - Chairman & Principal,"Barrick Gold Corporation (TSX:ABX) (Evans, J. Michael )"
