Joseph Saul Steinberg > Jefferies Financial Group Inc. (NYSE:JEF) > Relationship GridFilter Options: Board Members and Key Executives with Personal Relationships (Including Priors),,
,,
1st Degree Table: 329 Connections,,
"Cathcart, William Alun",D'Ieteren SA - Executive Vice President of D'Ieteren International,"Avis Budget Group, Inc. (NasdaqGS:CAR) (Choksi, Mary Claire)"
"Cather, David Connal",Eldorado Gold (BC) Corp. - Chief Operating Officer and Senior Vice President,"Avocet Mining plc (LSE:AVM) (Toll, Gordon Leonard), Eldorado Gold (BC) Corp. (Toll, Gordon Leonard)"
"Cathey, Robert P.",Ecosphere Energy Services LLC - Chief Executive Officer,"Ecosphere Energy Services LLC (Foley, William Patrick)"
"Catina CA, Maurice",Kalgoorlie Mining Company Ltd - Chief Financial Officer,"NTM Gold Limited (ASX:NTM) (Catlow, Christopher James)"
"Catlin, Loring",Hospital for Special Surgery - Trustee,"Hospital for Special Surgery, Inc. (Benson, James Michael)"
"Catt, Charles J.",R&Q Cyprus Ltd - Former Independent Non Executive Director,"R&Q Cyprus Ltd (Byrne, Mark J.)"
"Catton, Mark ",Henry Howard Finance PLC - Group Chief Executive Officer,"The Royal Bank of Scotland Group plc (LSE:RBS) (Liu, Sherry )"
"Caudill, Lee","Trusted Media Brands, Inc. - Former Director","Trusted Media Brands, Inc. (Matthews, Norman S.), Trusted Media Brands, Inc. (Williams, Thomas Arthur)"
"Caughlin, Michael P.",First Security Corporation - Former Executive VP of Technology and Processing Services and Director of First Security Bank NA,"First Security Corp., DE (Joklik, G. Frank)"
"Cauley, Kent D.","U.S. Concrete, Inc. - Former Principal Accounting Officer, Vice President and Controller","U.S. Concrete, Inc. (NasdaqCM:USCR) (Davis, Eugene Irwin)"
"Cauley, Patrick C.","Maxion Wheels U.S.A. LLC - Vice President, Secretary, General Counsel and Director","Maxion Wheels U.S.A. LLC (Cunningham, William H.)"
"Caulfeild-Browne, G. William",Scottish Re Group Limited - Former Lead Director,"Scottish Re Group Limited (Joyal, Robert E.)"
"Caulk, Robert L.",MidOcean Partners LLP - Operating Partner & Member of Executive Board,"The Hillman Companies, Inc. (Jones, David A.), United Industries Corporation (Brizius, Charles A.), United Industries Corporation (Johnston, Daniel J.), United Industries Corporation (Jones, David A.), United Industries Corporation (Lewis, Randal D.) and 1 Other Connection"
"Cavalier, John A.","SoloPower Systems, Inc. - Director","New York City Investment Fund Manager, Inc. (Ruch, Joshua )"
"Cavallé, Carlos P.",AVINTIV Specialty Materials Inc. - Former Director,"AVINTIV Specialty Materials Inc. (Chan, Lap Wai), AVINTIV Specialty Materials Inc. (Chu, Chinh E.)"
"Cavallo, Rob ",Warner Music Group Corp. - Chairman of Warner Bros. Records,"Warner Music Group Corp. (Brizius, Charles A.), Warner Music Group Corp. (Jaeckel, Scott L.)"
"Cavanagh Jr., Joseph V.","WhaleRock Point Partners, LLC - Member of Advisory Board","WhaleRock Point Partners, LLC (Falcone, Philip Alan)"
"Cavanagh, Daniel J.","MetLife, Inc. - Former EVP of Ops, EVP of Technology and Director of Metropolitan Property & Casualty Insurance Co.","MetLife, Inc. (NYSE:MET) (Benson, James Michael), MetLife, Inc. (NYSE:MET) (Launer, Leland Convis)"
"Cavanagh, Michael J.","NBCUniversal Media, LLC - Principal Financial Officer & Director","JPMorgan Chase & Co. (NYSE:JPM) (Liu, Sherry ), The Bear Stearns Companies LLC (Goldstein, Michael )"
"Cavanagh, Ralph",California Clean Energy Fund - Vice Chairman and Member of Investments Board ,"Bipartisan Policy Center (Archer, Dennis Wayne)"
"Cavanagh, Richard Edward","WhaleRock Point Partners, LLC - Managing Director, Chief Compliance Officer, and Head of Fixed Income","WhaleRock Point Partners, LLC (Falcone, Philip Alan)"
"Cavanagh, Richard Edward","BlackRock MuniYield Michigan Quality Fund, Inc. - Chairman","Dex Media International, Inc. (Erving, Julius W.), Dex Media International, Inc. (Thompson, H. Brian)"
"Cavanaugh Ph.D., James H.",HealthCare Ventures LLC - Managing Director,"3-Dimensional Pharmaceuticals, Inc. (Ruch, Joshua ), BASF Enzymes LLC (Ruch, Joshua ), MedImmune, LLC (MacKlin, Gordon S.)"
"Cavanaugh, Joseph P.","Inergy Gas, LLC - Former Chairman, Chief Executive Officer and President","Star Gas Finance Company (Lubar, Sheldon Bernard), Star Group, L.P. (NYSE:SGU) (Lubar, Sheldon Bernard)"
"Cavataio Sr., Michael A.","Ceres Group, Inc. - Director","Ceres Group, Inc. (Ritchie, James J.)"
"Cavatoni, Philip J.","Alpha Appalachia Holdings, Inc. - President, Treasurer, Chief Financial & Strategy Officer","Alpha Natural Resources, Inc. (Adamany, Linda L.)"
"Cave, Bruce ",Ereved Group Holdings Limited - Group Development Director and Director,"Ereved Group Holdings Limited (Reid, David Edward)"
"Cavin, W. Dabbs","Bear State Financial, Inc. - Former Vice Chairman of the Board","Bear State Bank, National Association (Massey, Richard Nelson), Bear State Financial Holdings, LLC (Massey, Richard Nelson), Bear State Financial, Inc. (Massey, Richard Nelson), First Federal Bank (Massey, Richard Nelson)"
"Cavoores, John Paul",Aspen Insurance Holdings Limited - Non-Executive Director,"Alliant Insurance Services, Inc. (Chu, Chinh E.), OneBeacon Insurance Group, Ltd. (Barrette, Raymond Joseph Rene), OneBeacon Insurance Group, Ltd. (Campbell, Reid Tarlton), OneBeacon Insurance Group, Ltd. (Davis, Morgan Wesley), OneBeacon Insurance Group, Ltd. (Fass, Steven Elliott) and 4 Other Connections"
"Cawkell, Kenneth Anthony",Solarvest BioEnergy Inc. - Chairman & Corporate Secretary,"Movarie Capital Ltd. (Pearce, Stephen W.)"
"Cawley, James","IDX Capital, LLC - Chief Executive Officer and Board Manager","IDX Capital, LLC (O’Kane, Michael T.)"
"Cayatte, Virginie ",Amundi Société Anonyme - Independent Director,"Amundi Asset Management (Cumming, Ian M.), Amundi Asset Management (Glaubinger, Lawrence D.), Amundi Asset Management (Nichols, Jesse Clyde)"
"Cayne, James Elliot",The Bear Stearns Companies LLC - Former Chairman of the Board,"The Bear Stearns Companies LLC (Goldstein, Michael )"
"Cayouette, Michel G.",Telesat Canada - Former CFO & Treasurer,"Global Cloud Xchange Limited (Davis, Eugene Irwin)"
"Cazenave, Bruce M.","Nautilus, Inc. - Former CEO & Director","Nautilus, Inc. (NYSE:NLS) (Siegert, Marvin G.)"
"Cearns BBus, Howard",Little World Beverages Limited - Director,"Tourism Western Australia (Gaines, Elizabeth Anne)"
"Cecere, Andrew ","U.S. Bancorp - Chairman, President & CEO","U.S. Bancorp (NYSE:USB) (Lubar, Sheldon Bernard), U.S. Bancorp, Prior to being Acquired by Firstar Bancorp. (Lubar, Sheldon Bernard)"
"Cecil, John L.","New Science Ventures, LLC - Partner & Senior Advisor","Lehman Brothers Holdings, Inc. (Clark, Howard L.)"
"Cecin Jr., José A.","Cambrian Communications, LLC - Co-Founder and Director","Ligado Networks, LLC (Clark, Lawrence M.), Ligado Networks, LLC (Falcone, Philip Alan), Ligado Networks, LLC (Hladek, Keith Michael), Ligado Networks, LLC (Jenson, Peter Athol), Ligado Networks, LLC (McKnight, Andrew A.)"
"Cecio, Julian",Pawnee Energy Limited - Former Chief Financial Officer,"Pawnee Energy Limited (Polistina, Terry L.)"
"Cederlund, Lars-Johan",Aktiebolaget Svensk Exportkredit (publ) - Former Executive Director of Credit Management,"AB Svensk Exportkredit (publ) (Thorstensson, Göran Ake)"
"Ceglia, John Joseph",Lazard Frères & Co. LLC - Former Chief Financial Officer,"Lazard Frères & Co. LLC (Tanner, David Allen)"
"Ceglinski, Mark Joseph",Peak Coal Limited - Chairman,"Arafura Pearls Holdings Limited (Forrest, John Andrew Henry)"
"Çelebi, Bülent",AirTies Kablosuz Iletisim ve Dis Ticaret A.S. - Co-Founder and Executive Chairman,"Adaptive Spectrum and Signal Alignment, Inc. (Ireland, Ross K.)"
"Celeste, Lino J.",New Brunswick Power Corporation - Former Director,"John Hancock Financial Services, Inc. (Benson, James Michael), Manulife Financial Corporation (TSX:MFC) (Benson, James Michael)"
"Cellar CFA, Kurt M.",Angiotech Pharmaceuticals Inc. - Co-Chairman of the Board,"Pacific Ethanol Central, LLC (Davis, Eugene Irwin), TelCove, LLC (Davis, Eugene Irwin), U.S. Concrete, Inc. (NasdaqCM:USCR) (Davis, Eugene Irwin)"
"Celso, Sarah Alicia",American Life Insurance Company - Senior Vice President,"American Life Insurance Company (Vigneau, Dennis Robert)"
"Cemo, Michael J.",Invesco Ltd. - Former President of A I M Distributors Inc. USA and Executive Vice President of AIM,"Invesco Ltd. (NYSE:IVZ) (Wagoner, G. Richard)"
"Cepeda, Adela M.",BMO Harris Bank National Association - Director,"Wyndham International, Inc. (Schoen, Scott A.)"
"Cera, Robert J.",Greenwoods State Bank - President & Director,"Greenwoods Financial Group, Inc. (Siegert, Marvin G.), Greenwoods State Bank (Siegert, Marvin G.)"
"Cerf, Vinton G.",Google LLC - Chief Internet Evangelist and Vice President,"Digex, Incorporated (Holiday, Edith E.)"
"Cermack, Sam",U.S. Shipping Corp. - COO VP of Chartering of US Shipping General Partner Llc and VP of US Shipping General Partner Llc,"U.S. Shipping Corp. (Luterman, Gerald )"
"Cerre-Ruedisili, Debra Jane",Employers Preferred Insurance Company - Former President & COO,"Employers Assurance Company (Paquette, Michael Scott), Employers Preferred Insurance Company (Paquette, Michael Scott)"
"Cerullo M.D., Leonard H.","Stereotaxis, Inc. - Former Member of Scientific Advisory Board","Stereotaxis, Inc. (OTCPK:STXS) (Johnston, Daniel J.)"
"Cerutti, Guillaume ",Avadel Pharmaceuticals plc - Former Director,"Ingenico Group - GCS (ENXTPA:ING) (Bourigeaud, Bernard André Joseph)"
"Cervantes, Luis Alfonso",Frontera Copper Corporation - Director,"Frontera Copper Corporation (Gilmore, Robert Russell)"
"Ceryanec, Joseph H.","TI Gotham Inc. - CEO, President & Director","McLeodUSA, LLC (Davis, Eugene Irwin)"
"Cesarek, Timothy J.",Enerkem Inc. - Senior Vice President of Business Development - North America,"Afina Energy Inc. (Ruch, Joshua ), Enerkem Inc. (Ruch, Joshua )"
"Cescau, Patrick Jean-Pierre",InterContinental Hotels Group PLC - Non-Executive Chairman of the Board,"Tesco PLC (LSE:TSCO) (Reid, David Edward)"
"Ceschina, Yoko Nagae",Carnegie Hall Corporation - Trustee,"Carnegie Hall Corporation (Zankel, Arthur)"
"Cespedes, Rosanita",The University of Utah - Member of Board of Regents,"The University of Utah (Scruggs, H. E.)"
"Cha, Mou-Daid ",C.M. Capital Corporation - Chairman,"Focus Ventures (Ireland, Ross K.)"
"Chabirand, Fanny ",Télévision Française 1 Société anonyme - Former Employee Representative Director,"Télévision Française 1 SA (ENXTPA:TFI) (Pélisson, Gilles Christian Gérard)"
"Chabraja, Nicholas D.",General Dynamics Land Systems Inc. - Chairman and Chief Executive Officer,"Ceridian Corporation (Foley, William Patrick), Ceridian Corporation (Jaeckel, Scott L.), HCI Equity Partners (Robinson, James D.)"
"Chacko, Bobby J.","Ocean Spray Cranberries, Inc. - Former President, CEO & Director","Ocean Spray Cranberries, Inc. (Thomas, Barbara Susan)"
"Chaddha, Navin ","Mayfield Fund, LLC - MD, Managing Partner & Director","iBEAM Broadcasting Corp. (Bumgarner, John C.), iBEAM Broadcasting Corp. (Janzen, Howard E.)"
"Chadwick, Michael S.","SLCA II, Inc - Chief Executive Officer, President and Director","Landcadia Holdings, Inc. (Handler, Richard Brian)"
"Chadwick, Rodney Leonard",Outotec Ausmelt Pty Ltd - Chairman,"Ansell Limited (ASX:ANN) (Elliott, Herbert James), Exide Technologies (Davis, Eugene Irwin), Exide Technologies (Genito, Anthony L.), Exide Technologies (Ressner, Michael P.)"
"Chae J.D., Michael S.","The Blackstone Group, Private Equity Group - Chief Financial Officer","iPCS, Inc. (Davis, Eugene Irwin), Michaels Stores, Inc. (Quella, James Andrew), Nielsen Finance LLC (Hollick, Clive R.), Nielsen Finance LLC (Quella, James Andrew), Nielsen Finance LLC (Schoen, Scott A.) and 4 Other Connections"
"Chafic, Mohamad ","KazaX Minerals Inc. - Chief Executive Officer, President & Director","KazaX Minerals Inc. (Kunz, Daniel James)"
"Chaifetz, Richard A.","ComPsych Corporation - Founder, Chairman and Chief Executive Officer","The Edgewater Funds (Jordan, John Weaver)"
"Chain Jr., John T.","Thomas Group, Inc. - Director","RJR Acquisition Corp. (Thomas, Barbara Susan)"
"Chajet, Clive",92nd Street Y - Honorary Director,"The Wendy's Company (NasdaqGS:WEN) (McCarron, Francis T.)"
"Chakraverty, Julie ",Aberdeen Asset Management PLC - Non-Executive Director,"MS Amlin plc (Kemp, Karl Thomas)"
"Chalaris, John","DeCrane Aerospace, Inc. - Chief Financial Officer","DeCrane Aerospace, Inc. (Quella, James Andrew)"
"Chalkley, Guy ","Electricity Networks Corporation - Former MD, CEO & Director","Electricity Networks Corporation (Barnaba, Mark Bradley), Electricity Networks Corporation (Warburton, Sharon Lee)"
"Challen, David J.",The Financial Conduct Authority - Former Chairman of Financial Services Practitioner Panel,"Anglo American Platinum Limited (JSE:AMS) (Pearce, Stephen Thomas), Anglo American plc (LSE:AAL) (Pearce, Stephen Thomas)"
"Challis, Jonathan ",Rye Patch Gold Corp. - Chairman of the Board,"MagIndustries Corp. (OTCPK:MAAF.F) (Toll, Gordon Leonard)"
"Chalmers, Alan",Axxis Technology Group Ltd - Former Non-Executive Director,"Axxis Technology Group Ltd (Scrimshaw, Russell John)"
"Chalmers, Rowan",Perth Airport Pty Ltd - Former Executive General Manager of Operations & Customer Experience,"Perth Airport Pty Ltd (Power, Neville Joseph)"
"Chalsty, John S.","Muirfield Capital Management, LLC - Founder and Chairman","New York City Investment Fund Manager, Inc. (Ruch, Joshua )"
"Chamberlain, Grant R.",Morgan Keegan Healthcare Investment Banking - Managing Director,"Insight Health Services Holdings Corp. (Davis, Eugene Irwin)"
"Chamberlain, James W.","Ryobi North America, Inc. (U.S.A.) - President","Cobra Electronics Corporation (Carmichael, William P.), Cobra Electronics Corporation (Lupo, John S.)"
"Chamberlain, Mark N.",Oceana Gold (New Zealand) Limited - Former Director,"OceanaGold Corporation (TSX:OGC) (Raby, Geoffrey William)"
"Chamberlain, Ronald Patrick",Vimy Resources Limited - Former Company Secretary & CFO,"Atlantic Ltd (Minosora, Michael John)"
"Chamberland, Claude ",CGI Inc. - Former Director,"CGI Inc. (TSX:GIB.A) (Bourigeaud, Bernard André Joseph)"
"Chambers B.Bus, Peter John",Siwa Group Limited - Non-Executive Chairman of the Board,"Indo Mines Limited (Catlow, Christopher James)"
"Chambers BSc, Stuart John",Anglo American plc - Chairman of the Board,"Anglo American plc (LSE:AAL) (Pearce, Stephen Thomas), Tesco PLC (LSE:TSCO) (Reid, David Edward)"
"Chambers, Carolyn Silva",Chambers Communications Corp. - Chairman and Chief Executive Officer,"U.S. Bancorp, Prior to being Acquired by Firstar Bancorp. (Lubar, Sheldon Bernard)"
"Chambers, James Robert","Big Lots, Inc. - Independent Non-Executive Chairman","Catalyst Inc. (Wagoner, G. Richard)"
"Chambers, Julius Levonne",RJR Acquisition Corp. - Director,"North Carolina Mutual Life Insurance Company (Archer, Dennis Wayne), RJR Acquisition Corp. (Thomas, Barbara Susan)"
"Chambliss, H. Dave","Waypoint Global, LLC - Chairman, President & CEO","Visiprise, Inc. (Robinson, James D.)"
"Chambon, Philippe O.","New Leaf Venture Partners, L.L.C. - Founder and Former Managing Director","New York City Investment Fund Manager, Inc. (Ruch, Joshua )"
"Chameides, William","Narrative Content Group, LLC - Member of the Advisory Board","Narrative Content Group. (Robinson, James D.)"
"Chamier, Daniel",Lipworth Capital Limited - Partner,"JPMorgan Chase & Co. (NYSE:JPM) (Liu, Sherry )"
"Champagne, Gilles Y.",Vanadiumcorp Resource Inc. - CTO & Independent Director,"Vanadiumcorp Resource Inc. (TSXV:VRB) (Pearce, Stephen Thomas), Vanadiumcorp Resource Inc. (TSXV:VRB) (Pearce, Stephen W.)"
"Chan BCom, Keong Kok",AuMake International Limited - Executive Chairman,"Superior Lake Resources Limited (ASX:SUP) (Woodall, David G.)"
"Chan Ph.D., Ching Chuen",Altair Nanotechnologies Inc. - Director and Member of Scientific Advisory Board,"ZAP (OTCPK:ZAAP) (Dodd, Gary)"
"Chan, David Ping",Yancoal Australia Ltd - Former Chief Financial Officer,"Yancoal Australia Ltd (ASX:YAL) (Raby, Geoffrey William)"
"Chan, Francis K.","Black Knight InfoServ, LLC - Former Chief Financial Officer","Black Knight InfoServ, LLC (Foley, William Patrick)"
"Chan, Heng Fai ",Singapore eDevelopment Limited - Executive Chairman & CEO,"Global Med Technologies, Inc. (Gilmore, Robert Russell)"
"Chan, Iris S.","MORE Health, Inc. - Chief Operation Officer","East West Bancorp, Inc. (NasdaqGS:EWBC) (Miscoll, James P.)"
"Chan, K. W.",The Coca-Cola Company - Chairman of Coca-Cola China Limited,"The Coca-Cola Company (NYSE:KO) (Robinson, James D.)"
"Chan, Kee-Kwan",International Mining Machinery Holdings Limited - Chief Executive Officer and Director,"International Mining Machinery Holdings Limited (Jordan, John Weaver), International Mining Machinery Holdings Limited (Ondrula, Lisa M.), International Mining Machinery Holdings Limited (Quinn, Thomas H.), International Mining Machinery Holdings Limited (Zalaznick, David W.)"
"Chan, Khye Meng",Phosphate Resources Limited - Non Executive Director,"CI Resources Limited (ASX:CII) (Caruso, Mark Victor), CI Resources Limited (ASX:CII) (Lymburn, David Andrew), Phosphate Resources Limited (Caruso, Mark Victor)"
"Chan, Kwong On",G-Resources Group Limited - Former Executive Director,"G-Resources Group Limited (SEHK:1051) (Hegarty, Owen Leigh)"
"Chan, Shek Wah ",Emperor Capital Group Limited - Former Executive Director,"CST Group Limited (SEHK:985) (Hegarty, Owen Leigh)"
"Chan, Siu Ping",OWW Capital Partners Pte. Ltd. - Industry Advisor,"Wiseway Group Limited (ASX:WWG) (Raby, Geoffrey William)"
"Chan, Suk Ching",Greenway Mining Group Limited - Non-Executive Director,"China Polymetallic Mining Limited (SEHK:2133) (Abell, Keith Wayne)"
"Chan, Tak Yuen",Emerald Plantation Holdings Limited - Former Founding Chairman Emeritus,"Emerald Plantation Holdings Limited (OTCPK:EMEX.F) (Davis, Eugene Irwin)"
"Chan, Tim C.","Farm Credit East, ACA - Outside Director","Ocean Spray Cranberries, Inc. (Thomas, Barbara Susan)"
"Chan, Tony T. W.","eVision International, Inc. - Former Chairman, Chief Executive Officer and Chief Operating Officer","Global Med Technologies, Inc. (Gilmore, Robert Russell)"
"Chandler CPA, John D.","Williams Partners L.P. - Senior VP, CFO & Director of WPZ GP LLC","Magellan Midstream Partners, L.P. (NYSE:MMP) (Bailey, Keith E.), Magellan Midstream Partners, L.P. (NYSE:MMP) (Malcolm, Steven J.), The Williams Companies, Inc. (NYSE:WMB) (Bailey, Keith E.), The Williams Companies, Inc. (NYSE:WMB) (Malcolm, Steven J.), The Williams Companies, Inc. (NYSE:WMB) (Meinig, Peter C.) and 1 Other Connection"
"Chandler Jr., Theodore Lindy",Oregon Title Insurance Company - President & CEO,"Fidelity National Financial, Inc. (NYSE:FNF) (Foley, William Patrick), Fidelity National Financial, Inc. (NYSE:FNF) (Massey, Richard Nelson)"
"Chandna, Rishi","Tollgrade Topco, Inc. - Treasurer and Director","Neustar, Inc. (Ireland, Ross K.)"
"Chandon-Moët, Marie-Pauline ",Société BIC SA - Director,"Société BIC SA (ENXTPA:BB) (Pélisson, Gilles Christian Gérard)"
"Chandor Jr., Stebbins B.","NTELOS Holdings Corp. - Former CFO , Executive VP, Treasurer & Assistant Secretary","iPCS, Inc. (Davis, Eugene Irwin)"
"Chandra, Anurag ","Shenandoah Life Insurance Company, Inc. - Former President, CEO & Director","HealthMarkets, Inc. (Chu, Chinh E.)"
"Chandran, Clarence J.",Walsingham Growth Partners - Venture Partner and Chairman,"CGI Inc. (TSX:GIB.A) (Bourigeaud, Bernard André Joseph)"
"Chandrashekara, Nicole",Bank Julius Bär & Co. AG - Former Co- Head of Marketing,"Catalyst Inc. (Wagoner, G. Richard)"
"Chaney, Gerald M.","Ralph Lauren Corporation - Former Chief Financial Officer, Principal Accounting Officer and Senior Vice President of Finance","Pacific Sunwear of California, LLC (Goldstein, Michael )"
"Chang, Alfred","Adaptive Spectrum and Signal Alignment, Inc. - Former Member of Advisory Board","Adaptive Spectrum and Signal Alignment, Inc. (Ireland, Ross K.)"
"Chang, Alfred ","Pacific Sunwear of California, LLC - President","Pacific Sunwear of California, LLC (Goldstein, Michael )"
"Chang, Christine C.",Blueprint Capital Advisors LLC - Chief Operating Officer and Chief Compliance Officer,"Blueprint Capital Advisors LLC (Walsh, Timothy Martin)"
"Chang, Gareth C. C.",AsiaTech Ventures Limited - Chairman,"DIRECTV, LLC (Wagoner, G. Richard), Neustar, Inc. (Ireland, Ross K.)"
"Chang, Jason ",EMR Capital Pty. Ltd. - Managing Director & Chief Executive Officer,"EMR Capital Pty Ltd (Hegarty, Owen Leigh)"
"Chang, Milton ","Incubic Management LLC - Co-Founder, Managing Partner & MD","OCG Ventures, LLC (Gilbert, Steven J.)"
"Changose, William J.",Westrock Capital - Chief Operations Officer,"Bear State Bank, National Association (Massey, Richard Nelson), Bear State Financial Holdings, LLC (Massey, Richard Nelson), Bear State Financial, Inc. (Massey, Richard Nelson)"
"Channell, Mark ",Lloyd's Syndicate 1945 - Former Director,"Lloyd's Syndicate 1945 (Thorstensson, Göran Ake)"
"Channon, Gregory John",Statesman Resources Ltd. - Technical Director and Director,"ScandiVanadium Ltd (ASX:SVD) (Lymburn, David Andrew)"
"Chansler, James M.",JEA - Former Chief Operations Officer,"JEA (Foley, William Patrick)"
"Chant, Arthur Dennis",Townsville Airport Pty Ltd. - Managing Director and Managing Director of Queensland Airports Limited,"Townsville Airport Pty Ltd. (Barclay, Fiona)"
"Chao, David Katsujin",Lotte Chemical Titan Holding Berhad - Head of Corporate Finance and Investor Relations,"Spansion Inc. (Davis, Eugene Irwin)"
"Chao, Gene","National Captioning Institute, Inc. - Chairman, Chief Executive Officer and President","Massachusetts Mutual Life Insurance Company (Reese, Stuart Harry)"
"Chapelet, Gilbert",Polar Molecular Holding Corp. - Former Director,"Polar Molecular Holding Corp. (Davis, Eugene Irwin)"
"Chapin, Schuyler G.",Carnegie Hall Corporation - Former Trustee,"Carnegie Hall Corporation (Zankel, Arthur)"
"Chaplin, Charles Edward","Brighthouse Financial, Inc. - Independent Chairman of the Board","MBIA Inc. (NYSE:MBI) (Gilbert, Steven J.), MGIC Investment Corporation (NYSE:MTG) (Lubar, Sheldon Bernard)"
"Chapman Jr., Richard P.",John Hancock Biotechnology Fund,"John Hancock Biotechnology Fund (Cunningham, William H.), John Hancock Bond Trust - John Hancock High Yield Fund (MutualFund:JYHI.X) (Cunningham, William H.), John Hancock Capital Series - John Hancock Classic Value Fund (MutualFund:JCVR.X) (Cunningham, William H.), John Hancock Capital Series - John Hancock Core Equity Fund (Cunningham, William H.), John Hancock Equity Trust - John Hancock Growth Trends Fund (Cunningham, William H.) and 33 Other Connections"
"Chapman Ph.D., Patrick L.","SolarBridge Technologies, Inc. - Co-Founder, Chief Technology Officer and Vice President of Advanced Development","SolarBridge Technologies, Inc. (Ruch, Joshua )"
"Chapman, Andy",National Grid Electricity Transmission plc - Former Finance Director and Executive Director,"National Grid plc (LSE:NG.) (Adamany, Linda L.)"
"Chapman, Bruce",Isentia Pty Limited - Former Director,"Isentia Pty Limited (Raby, Geoffrey William)"
"Chapman, Chris","Old Mutual Financial Network Securities, Inc. - Chief Executive Officer and Chief Executive Officer of Old Mutual US Life Group","Old Mutual Financial Network Securities, Inc. (Parker, Bruce Gilbert), Old Mutual Financial Network Securities, Inc. (Phelps, John Alden), Old Mutual Financial Network Securities, Inc. (Ward, Barry Gordon)"
"Chapman, Craig Graeme",Australian Careers Network Limited - Non-Executive Independent Director,"Helloworld Travel Limited (ASX:HLO) (Gaines, Elizabeth Anne), Stella Group Pty Ltd. (Gaines, Elizabeth Anne)"
"Chapman, Gary R.","LIN Television of Texas, Inc. - President and Chief Executive Officer","LIN Holdings Corp. (Cunningham, William H.), LIN Media LLC (Cunningham, William H.), LIN Television Corporation (Cunningham, William H.)"
"Chapman, Hugh M.",SCANA Corporation - Former Director,"The Williams Companies, Inc. (NYSE:WMB) (Bailey, Keith E.), The Williams Companies, Inc. (NYSE:WMB) (Malcolm, Steven J.), The Williams Companies, Inc. (NYSE:WMB) (Meinig, Peter C.)"
"Chapman, James Norris","Arch Resources, Inc. - Lead Independent Director","Anchor Glass Container Corporation (Davis, Eugene Irwin), Maxion Wheels Inc. (Cunningham, William H.), Scottish Re Group Limited (Joyal, Robert E.)"
"Chapman, Martin ",Medibio Limited - Member of Scientific Advisory Board,"Medibio Limited (ASX:MEB) (Pearce, Stephen Thomas)"
"Chapman, Melissa Kate",European Lithium Limited - CFO & Company Secretary,"Cape Lambert Resources Limited (ASX:CFE) (Burston, Ian Fred)"
"Chapman, Paul D.","Medical Action Industries Inc. - President, Chief Operating Officer and Director","DJO Finance LLC (Chu, Chinh E.), DJO Finance LLC (Quella, James Andrew), DJO Global Inc. (Chu, Chinh E.), DJO Global Inc. (Quella, James Andrew), DJO Opco Holdings, Inc. (Chu, Chinh E.)"
"Chapman, Tannaz Shashaani","Levine Leichtman Capital Partners, LLC - Managing Director","ADT Inc. (NYSE:ADT) (Tanner, David Allen)"
"Chappel, Donald R.",Williams Partners GP LLC - Chief Financial Officer and Director,"Northwest Pipeline LLC (Bailey, Keith E.), Northwest Pipeline LLC (Malcolm, Steven J.), The Williams Companies, Inc. (NYSE:WMB) (Bailey, Keith E.), The Williams Companies, Inc. (NYSE:WMB) (Malcolm, Steven J.), The Williams Companies, Inc. (NYSE:WMB) (Meinig, Peter C.) and 4 Other Connections"
"Chappell, Elizabeth A.","American Axle & Manufacturing Holdings, Inc. - Independent Director","Compuware Corporation (Archer, Dennis Wayne)"
"Chappell, John",Compass Resources Limited - Former Non-Executive Independent Director,"Compass Resources Limited (Toll, Gordon Leonard)"
"Chapus, Jean-Marc ","Crescent Capital Group, LP - Managing Partner","Crescent Capital Corporation (Beyer, Robert David), Crescent Funding Inc. (Beyer, Robert David), Milwaukee Brewers Baseball Club, Inc. (Beyer, Robert David), TCW Asset Management Company (Beyer, Robert David), TCW/Crescent Mezzanine Partners, L.L.C. (Beyer, Robert David)"
"Charbonneau, Scott Keith","Specialty Underwriters' Alliance, Inc. - Chief Actuary and Vice President","CastlePoint National Insurance Company (Colalucci, Francis Michael)"
"Chare, Paul ",Anvil Mining Limited - Vice President of Operations for DRC,"Compass Resources Limited (Toll, Gordon Leonard), Turquoise Hill Resources Ltd. (TSX:TRQ) (Kunz, Daniel James), Turquoise Hill Resources Ltd. (TSX:TRQ) (Toll, Gordon Leonard)"
"Charles, Dirkson R.","Loar Group, Inc. - Founder and Chief Executive Officer","K&F Industries Holdings, Inc. (Hodes, Robert B.)"
"Charles, Jeremy Douglas",Quilter Financial Planning Limited - Director,"Old Mutual Ltd (JSE:OMU) (Parker, Bruce Gilbert), Old Mutual Ltd (JSE:OMU) (Ward, Barry Gordon)"
"Charlier, Christophe François",OptoGaN Oy - Chairman of the Board,"Ecometals Limited (OTCPK:ECML.F) (Clark, Lawrence M.)"
"Charlton, Richard Wingate Edward",Diligent Corporation - Former Chairman,"China Polymetallic Mining Limited (SEHK:2133) (Abell, Keith Wayne)"
"Charman, John R.",Sompo International Holdings Ltd. - Executive Chairman of the Board,"AXIS Capital Holdings Limited (NYSE:AXS) (Schoen, Scott A.), AXIS Specialty Limited (Schoen, Scott A.), Sompo International Holdings Ltd. (Davis, Morgan Wesley)"
